Time,lowAlpha,highAlpha,lowBeta,highBeta
393.336366892,5333,11487,3946,2791
394.322644949,3837,4630,10046,2656
395.303960085,2509,4801,2797,2269
396.326087952,6818,6880,2248,4701
397.312344074,10165,5209,8282,2047
398.288707972,3436,4648,3282,1898
399.318825006,3103,17547,12262,9693
400.293613911,1189,2224,3975,2283
401.287646055,1778,846,2989,1819
402.306421041,8608,8073,6629,10374
403.28977704,8994,10089,13204,4214
404.267414093,9788,1876,2684,916
405.29645896,9678,8399,3041,9030
406.278872967,2594,2626,4948,6392
407.260293007,14545,731,2171,1709
408.286468983,3584,976,890,2757
409.27364397,4004,10583,10140,8976
410.254091978,548,7410,2380,4870
411.269958973,1316,983,990,5878
412.256503105,6681,2470,6059,2079
413.245563984,6086,9443,9283,8470
414.262712002,33399,80011,13844,17421
415.254128933,7682,10434,1523,2355
416.225514889,4910,4406,3366,1864
417.249047995,2651,830,1406,8074
418.237978935,7855,4203,4591,4812
419.21679306,2989,1688,2218,4676
420.221261978,2871,1462,1312,6173
421.229158878,2291,4793,5385,1619
422.205544949,2720,3467,7865,15515
423.209115028,2864,2774,1842,3188
424.214924097,21099,9309,7909,10842
425.20303297,1283,4443,4353,4360
426.201607943,2696,1810,5097,1510
427.206279039,8401,3866,8883,4878
428.193101883,1745,404,4981,2951
429.186325073,1313,1991,1864,1941
430.196105957,7573,2360,1794,3185
431.1813941,6126,2909,1018,4490
432.183998108,2490,669,3084,2066
433.182614088,29997,11997,14805,13008
434.163698912,1461,2832,3203,4731
435.166209936,3905,1498,3040,3428
436.177434921,2586,4432,2257,1696
437.161170006,1263,4542,3388,2445
438.171519995,36534,16195,15665,11430
439.16125989,845,1266,857,1624
440.14121604,1408,1701,1768,1851
441.15384388,1914,3493,2231,1349
442.151239872,3834,3858,12091,7699
443.138989925,1376,3299,13024,8947
444.136523008,11305,3915,5396,6030
445.126625061,1763,1092,3182,2783
446.127763033,58236,36742,7959,21748
447.13784194,927,2801,4821,2057
448.109165907,656,1381,1119,3886
449.121288061,1571,1504,975,2292
450.114151001,1040,255,881,4147
451.097934008,4152,6901,2913,7919
452.106672049,1948,2894,1499,1136
453.106709957,980,1771,1126,1182
454.095424891,11610,7627,5551,3539
455.099040985,1900,1711,2237,2310
456.093990088,11553,4231,12610,3862
457.076725006,5479,2467,4993,4435
458.085577965,6551,2117,5604,3751
459.085824966,7417,5491,7367,9034
460.075805902,1504,2331,2350,6690
461.069453001,16536,44567,69647,30764
462.080455065,6104,6225,7597,7675
463.060801983,48638,15465,25353,12693
464.058229923,3545,1826,3899,3111
465.062967062,1227,1257,2205,2649
466.052135944,994,2017,3218,2152
467.051961899,1464,3266,845,2206
468.059666872,2211,2613,1267,1351
469.0423069,1917,2314,866,2484
470.0207479,21077,5875,7340,11069
471.045366049,913,851,931,807
472.031756878,6672,3547,1764,1868
473.008061886,550,2188,726,3678
474.039773941,1288,603,1599,2548
475.023072958,1458,2854,1240,1439
476.000573874,2195,3226,2723,2118
477.027064085,766,214,377,593
478.0093081,1031,1540,2255,3546
478.987004042,2639,1710,1052,1478
480.016757011,2870,1391,606,1606
480.997149944,313,581,1756,2288
481.979682922,397,2733,1832,3890
483.004546881,9938,5216,2599,1454
483.989402056,11892,6996,10062,18796
484.96698308,1610,2895,4515,3353
485.994564056,6361,6412,6548,4228
486.980607986,329,2761,1847,4934
487.955759048,31707,25732,43381,25856
488.986042023,11076,10298,28700,26281
489.96223402,112957,16743,4579,8525
490.948180914,4459,7941,21786,5096
491.976975918,2027,1338,3192,1558
492.956885099,1131,1160,2072,3817
493.934319973,2423,1720,3224,4069
494.917097092,3097,1404,1819,1500
495.943192005,5378,1239,2382,5904
496.924813986,4122,4290,4969,8606
497.91080904,2184,397,1846,4318
498.935519934,11331,17235,2832,11412
499.919939995,7297,29666,7987,23637
500.911207914,18150,34950,17105,10061
501.925672054,698,246,2086,2759
502.912545919,3697,4251,4597,13580
503.897161007,512,731,2548,7015
504.917320967,2886,2251,1663,2268
505.902399063,19113,39594,9575,15570
506.888164997,26367,11407,7218,8910
507.90706706,14072,18765,15152,13591
508.887166023,18395,3675,8853,15765
509.879716873,398,1289,4669,2104
510.897181988,7307,4550,1720,3394
511.879702091,12696,14041,6156,7179
512.864751101,680,1586,1876,1026
513.883482933,449,481,1941,1199
514.867496014,477,801,821,1163
515.852655888,928,2378,3155,5338
516.870790958,3635,5657,3489,852
517.857194901,1382,2283,732,3301
518.838876963,4790,8117,10166,12674
519.845128059,1027,1920,1888,1712
520.846929073,5955,6870,10311,6325
521.82473588,960,1048,2678,776
522.837044954,2332,1902,2735,2682
523.835959911,4530,4588,5206,10294
524.814739943,1752,1330,322,3170
525.826063871,8022,5635,6743,7327
526.828603983,2983,1407,2949,2457
527.812267065,2455,475,4180,2753
528.810868025,2517,1065,1836,2909
529.809720993,473,1311,3670,1354
530.801337957,1656,1546,2855,3203
531.805299044,16462,16073,11406,17789
532.806339979,965,2450,3507,2438
533.791493893,25156,17578,18155,14295
534.791435957,7882,3861,3342,1186
535.794872999,1979,3361,5786,1981
536.772716999,3364,138,1944,1051
537.782424927,8193,7652,11145,9407
538.782885075,8910,16180,7502,6306
539.770143986,866,725,3805,2627
540.774919987,2977,712,3018,2560
541.772262096,2322,1048,2526,2210
542.752104998,1293,1864,1293,3364
543.759903908,1650,4405,7817,18224
544.741112947,444,911,2531,3605
545.745985985,1855,9490,4011,4931
546.750302076,6315,3921,4053,3195
547.729888916,3662,4614,5815,3849
548.740211964,314,3848,2037,1051
549.73409605,10154,1677,1937,2680
550.719863892,6868,5496,2796,3464
551.726497889,293,2295,1371,6275
552.729106903,22664,24372,18839,13592
